date,event_type,event_subtype,description,historical_value,surprise_direction,market_impact_notes
2024-07-12,CPI,cpi_monthly,Consumer Price Index (2024-07),,,Key inflation indicator — high impact on rate expectations
2024-07-19,OPTIONS_EXPIRATION,monthly,Monthly options expiration,,,
2024-07-26,GDP,gdp_advance,GDP Advance Estimate — Q2 2024,,,
2024-07-31,FOMC,hold,FOMC Meeting — hold to 5.25-5.50% (September cut signal),5.25-5.50%,,September cut signal
2024-08-02,NFP,employment_situation,Non-Farm Payrolls / Employment Situation (2024-08),,,Major market mover — typically ±0.5-1.5% S&P impact on surprise
2024-08-05,MARKET_EVENT,volatility_spike,Yen carry trade unwind — VIX spikes to 65,,,Largest VIX spike since COVID
2024-08-13,CPI,cpi_monthly,Consumer Price Index (2024-08),,,Key inflation indicator — high impact on rate expectations
2024-08-16,OPTIONS_EXPIRATION,monthly,Monthly options expiration,,,
2024-09-06,NFP,employment_situation,Non-Farm Payrolls / Employment Situation (2024-09),,,Major market mover — typically ±0.5-1.5% S&P impact on surprise
2024-09-13,CPI,cpi_monthly,Consumer Price Index (2024-09),,,Key inflation indicator — high impact on rate expectations
2024-09-18,FOMC,cut,FOMC Meeting — cut to 4.75-5.00% (-50bp — first cut since 2020),4.75-5.00%,,-50bp — first cut since 2020
2024-09-20,OPTIONS_EXPIRATION,triple_witching,Quadruple witching,,,Higher volume and volatility typical
2024-09-20,INDEX_REBALANCE,sp500_quarterly,S&P 500 quarterly rebalancing effective,,,Rebalancing flows affect added/removed stocks
2024-10-04,NFP,employment_situation,Non-Farm Payrolls / Employment Situation (2024-10),,,Major market mover — typically ±0.5-1.5% S&P impact on surprise
2024-10-11,CPI,cpi_monthly,Consumer Price Index (2024-10),,,Key inflation indicator — high impact on rate expectations
2024-10-18,OPTIONS_EXPIRATION,monthly,Monthly options expiration,,,
2024-10-28,GDP,gdp_advance,GDP Advance Estimate — Q3 2024,,,
2024-11-01,NFP,employment_situation,Non-Farm Payrolls / Employment Situation (2024-11),,,Major market mover — typically ±0.5-1.5% S&P impact on surprise
2024-11-07,FOMC,cut,FOMC Meeting — cut to 4.50-4.75% (-25bp),4.50-4.75%,,-25bp
2024-11-13,CPI,cpi_monthly,Consumer Price Index (2024-11),,,Key inflation indicator — high impact on rate expectations
2024-11-15,OPTIONS_EXPIRATION,monthly,Monthly options expiration,,,
2024-12-06,NFP,employment_situation,Non-Farm Payrolls / Employment Situation (2024-12),,,Major market mover — typically ±0.5-1.5% S&P impact on surprise
2024-12-13,CPI,cpi_monthly,Consumer Price Index (2024-12),,,Key inflation indicator — high impact on rate expectations
2024-12-18,FOMC,cut,FOMC Meeting — cut to 4.25-4.50% (-25bp),4.25-4.50%,,-25bp
2024-12-20,OPTIONS_EXPIRATION,triple_witching,Quadruple witching,,,Higher volume and volatility typical
2024-12-20,INDEX_REBALANCE,sp500_quarterly,S&P 500 quarterly rebalancing effective,,,Rebalancing flows affect added/removed stocks
2025-01-03,NFP,employment_situation,Non-Farm Payrolls / Employment Situation (2025-01),,,Major market mover — typically ±0.5-1.5% S&P impact on surprise
2025-01-13,CPI,cpi_monthly,Consumer Price Index (2025-01),,,Key inflation indicator — high impact on rate expectations
2025-01-17,OPTIONS_EXPIRATION,monthly,Monthly options expiration,,,
2025-01-28,GDP,gdp_advance,GDP Advance Estimate — Q4 2024,,,
2025-01-29,FOMC,hold,FOMC Meeting — hold to 4.25-4.50% (Pause after 3 cuts),4.25-4.50%,,Pause after 3 cuts
2025-02-07,NFP,employment_situation,Non-Farm Payrolls / Employment Situation (2025-02),,,Major market mover — typically ±0.5-1.5% S&P impact on surprise
2025-02-13,CPI,cpi_monthly,Consumer Price Index (2025-02),,,Key inflation indicator — high impact on rate expectations
2025-02-21,OPTIONS_EXPIRATION,monthly,Monthly options expiration,,,
2025-03-07,NFP,employment_situation,Non-Farm Payrolls / Employment Situation (2025-03),,,Major market mover — typically ±0.5-1.5% S&P impact on surprise
2025-03-13,CPI,cpi_monthly,Consumer Price Index (2025-03),,,Key inflation indicator — high impact on rate expectations
2025-03-19,FOMC,hold,FOMC Meeting — hold to 4.25-4.50%,4.25-4.50%,,
2025-03-21,OPTIONS_EXPIRATION,triple_witching,Quadruple witching,,,Higher volume and volatility typical
2025-03-21,INDEX_REBALANCE,sp500_quarterly,S&P 500 quarterly rebalancing effective,,,Rebalancing flows affect added/removed stocks
2025-04-04,NFP,employment_situation,Non-Farm Payrolls / Employment Situation (2025-04),,,Major market mover — typically ±0.5-1.5% S&P impact on surprise
2025-04-11,CPI,cpi_monthly,Consumer Price Index (2025-04),,,Key inflation indicator — high impact on rate expectations
2025-04-18,OPTIONS_EXPIRATION,monthly,Monthly options expiration,,,
2025-04-28,GDP,gdp_advance,GDP Advance Estimate — Q1 2025,,,
2025-05-02,NFP,employment_situation,Non-Farm Payrolls / Employment Situation (2025-05),,,Major market mover — typically ±0.5-1.5% S&P impact on surprise
2025-05-07,FOMC,scheduled,FOMC Meeting (Scheduled),,,Scheduled
2025-05-13,CPI,cpi_monthly,Consumer Price Index (2025-05),,,Key inflation indicator — high impact on rate expectations
2025-05-16,OPTIONS_EXPIRATION,monthly,Monthly options expiration,,,
2025-06-06,NFP,employment_situation,Non-Farm Payrolls / Employment Situation (2025-06),,,Major market mover — typically ±0.5-1.5% S&P impact on surprise
2025-06-13,CPI,cpi_monthly,Consumer Price Index (2025-06),,,Key inflation indicator — high impact on rate expectations
2025-06-18,FOMC,scheduled,FOMC Meeting (Scheduled),,,Scheduled
2025-06-20,OPTIONS_EXPIRATION,triple_witching,Quadruple witching,,,Higher volume and volatility typical
2025-06-20,INDEX_REBALANCE,sp500_quarterly,S&P 500 quarterly rebalancing effective,,,Rebalancing flows affect added/removed stocks
2025-07-04,NFP,employment_situation,Non-Farm Payrolls / Employment Situation (2025-07),,,Major market mover — typically ±0.5-1.5% S&P impact on surprise
2025-07-11,CPI,cpi_monthly,Consumer Price Index (2025-07),,,Key inflation indicator — high impact on rate expectations
2025-07-18,OPTIONS_EXPIRATION,monthly,Monthly options expiration,,,
2025-07-28,GDP,gdp_advance,GDP Advance Estimate — Q2 2025,,,
2025-07-30,FOMC,scheduled,FOMC Meeting (Scheduled),,,Scheduled
2025-08-01,NFP,employment_situation,Non-Farm Payrolls / Employment Situation (2025-08),,,Major market mover — typically ±0.5-1.5% S&P impact on surprise
2025-08-13,CPI,cpi_monthly,Consumer Price Index (2025-08),,,Key inflation indicator — high impact on rate expectations
2025-08-15,OPTIONS_EXPIRATION,monthly,Monthly options expiration,,,
2025-09-05,NFP,employment_situation,Non-Farm Payrolls / Employment Situation (2025-09),,,Major market mover — typically ±0.5-1.5% S&P impact on surprise
2025-09-12,CPI,cpi_monthly,Consumer Price Index (2025-09),,,Key inflation indicator — high impact on rate expectations
2025-09-17,FOMC,scheduled,FOMC Meeting (Scheduled),,,Scheduled
2025-09-19,OPTIONS_EXPIRATION,triple_witching,Quadruple witching,,,Higher volume and volatility typical
2025-09-19,INDEX_REBALANCE,sp500_quarterly,S&P 500 quarterly rebalancing effective,,,Rebalancing flows affect added/removed stocks
2025-10-03,NFP,employment_situation,Non-Farm Payrolls / Employment Situation (2025-10),,,Major market mover — typically ±0.5-1.5% S&P impact on surprise
2025-10-13,CPI,cpi_monthly,Consumer Price Index (2025-10),,,Key inflation indicator — high impact on rate expectations
2025-10-17,OPTIONS_EXPIRATION,monthly,Monthly options expiration,,,
2025-10-28,GDP,gdp_advance,GDP Advance Estimate — Q3 2025,,,
2025-10-29,FOMC,scheduled,FOMC Meeting (Scheduled),,,Scheduled
2025-11-07,NFP,employment_situation,Non-Farm Payrolls / Employment Situation (2025-11),,,Major market mover — typically ±0.5-1.5% S&P impact on surprise
2025-11-13,CPI,cpi_monthly,Consumer Price Index (2025-11),,,Key inflation indicator — high impact on rate expectations
2025-11-21,OPTIONS_EXPIRATION,monthly,Monthly options expiration,,,
2025-12-05,NFP,employment_situation,Non-Farm Payrolls / Employment Situation (2025-12),,,Major market mover — typically ±0.5-1.5% S&P impact on surprise
2025-12-10,FOMC,scheduled,FOMC Meeting (Scheduled),,,Scheduled
2025-12-12,CPI,cpi_monthly,Consumer Price Index (2025-12),,,Key inflation indicator — high impact on rate expectations
2025-12-19,OPTIONS_EXPIRATION,triple_witching,Quadruple witching,,,Higher volume and volatility typical
2025-12-19,INDEX_REBALANCE,sp500_quarterly,S&P 500 quarterly rebalancing effective,,,Rebalancing flows affect added/removed stocks
2026-01-02,NFP,employment_situation,Non-Farm Payrolls / Employment Situation (2026-01),,,Major market mover — typically ±0.5-1.5% S&P impact on surprise
2026-01-13,CPI,cpi_monthly,Consumer Price Index (2026-01),,,Key inflation indicator — high impact on rate expectations
2026-01-16,OPTIONS_EXPIRATION,monthly,Monthly options expiration,,,
2026-01-28,FOMC,scheduled,FOMC Meeting (Scheduled),,,Scheduled
2026-01-28,GDP,gdp_advance,GDP Advance Estimate — Q4 2025,,,
2026-02-06,NFP,employment_situation,Non-Farm Payrolls / Employment Situation (2026-02),,,Major market mover — typically ±0.5-1.5% S&P impact on surprise
2026-02-13,CPI,cpi_monthly,Consumer Price Index (2026-02),,,Key inflation indicator — high impact on rate expectations
2026-02-20,OPTIONS_EXPIRATION,monthly,Monthly options expiration,,,
2026-03-06,NFP,employment_situation,Non-Farm Payrolls / Employment Situation (2026-03),,,Major market mover — typically ±0.5-1.5% S&P impact on surprise
2026-03-13,CPI,cpi_monthly,Consumer Price Index (2026-03),,,Key inflation indicator — high impact on rate expectations
2026-03-18,FOMC,scheduled,FOMC Meeting (Scheduled),,,Scheduled
2026-03-20,OPTIONS_EXPIRATION,triple_witching,Quadruple witching,,,Higher volume and volatility typical
2026-03-20,INDEX_REBALANCE,sp500_quarterly,S&P 500 quarterly rebalancing effective,,,Rebalancing flows affect added/removed stocks
2026-04-03,NFP,employment_situation,Non-Farm Payrolls / Employment Situation (2026-04),,,Major market mover — typically ±0.5-1.5% S&P impact on surprise
2026-04-13,CPI,cpi_monthly,Consumer Price Index (2026-04),,,Key inflation indicator — high impact on rate expectations
2026-04-17,OPTIONS_EXPIRATION,monthly,Monthly options expiration,,,
2026-04-28,GDP,gdp_advance,GDP Advance Estimate — Q1 2026,,,
2026-04-29,FOMC,scheduled,FOMC Meeting (Scheduled),,,Scheduled
2026-05-01,NFP,employment_situation,Non-Farm Payrolls / Employment Situation (2026-05),,,Major market mover — typically ±0.5-1.5% S&P impact on surprise
2026-05-13,CPI,cpi_monthly,Consumer Price Index (2026-05),,,Key inflation indicator — high impact on rate expectations
2026-05-15,OPTIONS_EXPIRATION,monthly,Monthly options expiration,,,
2026-06-05,NFP,employment_situation,Non-Farm Payrolls / Employment Situation (2026-06),,,Major market mover — typically ±0.5-1.5% S&P impact on surprise
2026-06-12,CPI,cpi_monthly,Consumer Price Index (2026-06),,,Key inflation indicator — high impact on rate expectations
2026-06-17,FOMC,scheduled,FOMC Meeting (Scheduled),,,Scheduled
2026-06-19,OPTIONS_EXPIRATION,triple_witching,Quadruple witching,,,Higher volume and volatility typical
2026-06-19,INDEX_REBALANCE,sp500_quarterly,S&P 500 quarterly rebalancing effective,,,Rebalancing flows affect added/removed stocks
2026-07-03,NFP,employment_situation,Non-Farm Payrolls / Employment Situation (2026-07),,,Major market mover — typically ±0.5-1.5% S&P impact on surprise
2026-07-13,CPI,cpi_monthly,Consumer Price Index (2026-07),,,Key inflation indicator — high impact on rate expectations
2026-07-17,OPTIONS_EXPIRATION,monthly,Monthly options expiration,,,
2026-07-28,GDP,gdp_advance,GDP Advance Estimate — Q2 2026,,,
2026-07-29,FOMC,scheduled,FOMC Meeting (Scheduled),,,Scheduled
2026-08-07,NFP,employment_situation,Non-Farm Payrolls / Employment Situation (2026-08),,,Major market mover — typically ±0.5-1.5% S&P impact on surprise
2026-08-13,CPI,cpi_monthly,Consumer Price Index (2026-08),,,Key inflation indicator — high impact on rate expectations
2026-08-21,OPTIONS_EXPIRATION,monthly,Monthly options expiration,,,
2026-09-04,NFP,employment_situation,Non-Farm Payrolls / Employment Situation (2026-09),,,Major market mover — typically ±0.5-1.5% S&P impact on surprise
2026-09-11,CPI,cpi_monthly,Consumer Price Index (2026-09),,,Key inflation indicator — high impact on rate expectations
2026-09-16,FOMC,scheduled,FOMC Meeting (Scheduled),,,Scheduled
2026-09-18,OPTIONS_EXPIRATION,triple_witching,Quadruple witching,,,Higher volume and volatility typical
2026-09-18,INDEX_REBALANCE,sp500_quarterly,S&P 500 quarterly rebalancing effective,,,Rebalancing flows affect added/removed stocks
2026-10-02,NFP,employment_situation,Non-Farm Payrolls / Employment Situation (2026-10),,,Major market mover — typically ±0.5-1.5% S&P impact on surprise
2026-10-13,CPI,cpi_monthly,Consumer Price Index (2026-10),,,Key inflation indicator — high impact on rate expectations
2026-10-16,OPTIONS_EXPIRATION,monthly,Monthly options expiration,,,
2026-10-28,FOMC,scheduled,FOMC Meeting (Scheduled),,,Scheduled
2026-10-28,GDP,gdp_advance,GDP Advance Estimate — Q3 2026,,,
2026-11-06,NFP,employment_situation,Non-Farm Payrolls / Employment Situation (2026-11),,,Major market mover — typically ±0.5-1.5% S&P impact on surprise
2026-11-13,CPI,cpi_monthly,Consumer Price Index (2026-11),,,Key inflation indicator — high impact on rate expectations
2026-11-20,OPTIONS_EXPIRATION,monthly,Monthly options expiration,,,
2026-12-04,NFP,employment_situation,Non-Farm Payrolls / Employment Situation (2026-12),,,Major market mover — typically ±0.5-1.5% S&P impact on surprise
2026-12-09,FOMC,scheduled,FOMC Meeting (Scheduled),,,Scheduled
2026-12-11,CPI,cpi_monthly,Consumer Price Index (2026-12),,,Key inflation indicator — high impact on rate expectations
2026-12-18,OPTIONS_EXPIRATION,triple_witching,Quadruple witching,,,Higher volume and volatility typical
2026-12-18,INDEX_REBALANCE,sp500_quarterly,S&P 500 quarterly rebalancing effective,,,Rebalancing flows affect added/removed stocks
2027-01-01,NFP,employment_situation,Non-Farm Payrolls / Employment Situation (2027-01),,,Major market mover — typically ±0.5-1.5% S&P impact on surprise
2027-01-13,CPI,cpi_monthly,Consumer Price Index (2027-01),,,Key inflation indicator — high impact on rate expectations
2027-01-15,OPTIONS_EXPIRATION,monthly,Monthly options expiration,,,
2027-01-28,GDP,gdp_advance,GDP Advance Estimate — Q4 2026,,,
2027-02-05,NFP,employment_situation,Non-Farm Payrolls / Employment Situation (2027-02),,,Major market mover — typically ±0.5-1.5% S&P impact on surprise
2027-02-12,CPI,cpi_monthly,Consumer Price Index (2027-02),,,Key inflation indicator — high impact on rate expectations
2027-02-19,OPTIONS_EXPIRATION,monthly,Monthly options expiration,,,
2027-03-05,NFP,employment_situation,Non-Farm Payrolls / Employment Situation (2027-03),,,Major market mover — typically ±0.5-1.5% S&P impact on surprise
2027-03-12,CPI,cpi_monthly,Consumer Price Index (2027-03),,,Key inflation indicator — high impact on rate expectations
2027-03-19,OPTIONS_EXPIRATION,triple_witching,Quadruple witching,,,Higher volume and volatility typical
2027-03-19,INDEX_REBALANCE,sp500_quarterly,S&P 500 quarterly rebalancing effective,,,Rebalancing flows affect added/removed stocks
2027-04-02,NFP,employment_situation,Non-Farm Payrolls / Employment Situation (2027-04),,,Major market mover — typically ±0.5-1.5% S&P impact on surprise
2027-04-13,CPI,cpi_monthly,Consumer Price Index (2027-04),,,Key inflation indicator — high impact on rate expectations
2027-04-16,OPTIONS_EXPIRATION,monthly,Monthly options expiration,,,
2027-04-28,GDP,gdp_advance,GDP Advance Estimate — Q1 2027,,,
2027-05-07,NFP,employment_situation,Non-Farm Payrolls / Employment Situation (2027-05),,,Major market mover — typically ±0.5-1.5% S&P impact on surprise
2027-05-13,CPI,cpi_monthly,Consumer Price Index (2027-05),,,Key inflation indicator — high impact on rate expectations
2027-05-21,OPTIONS_EXPIRATION,monthly,Monthly options expiration,,,
2027-06-04,NFP,employment_situation,Non-Farm Payrolls / Employment Situation (2027-06),,,Major market mover — typically ±0.5-1.5% S&P impact on surprise
2027-06-11,CPI,cpi_monthly,Consumer Price Index (2027-06),,,Key inflation indicator — high impact on rate expectations
2027-06-18,OPTIONS_EXPIRATION,triple_witching,Quadruple witching,,,Higher volume and volatility typical
2027-06-18,INDEX_REBALANCE,sp500_quarterly,S&P 500 quarterly rebalancing effective,,,Rebalancing flows affect added/removed stocks
2027-07-02,NFP,employment_situation,Non-Farm Payrolls / Employment Situation (2027-07),,,Major market mover — typically ±0.5-1.5% S&P impact on surprise
2027-07-13,CPI,cpi_monthly,Consumer Price Index (2027-07),,,Key inflation indicator — high impact on rate expectations
2027-07-16,OPTIONS_EXPIRATION,monthly,Monthly options expiration,,,
2027-07-28,GDP,gdp_advance,GDP Advance Estimate — Q2 2027,,,
2027-08-06,NFP,employment_situation,Non-Farm Payrolls / Employment Situation (2027-08),,,Major market mover — typically ±0.5-1.5% S&P impact on surprise
2027-08-13,CPI,cpi_monthly,Consumer Price Index (2027-08),,,Key inflation indicator — high impact on rate expectations
2027-08-20,OPTIONS_EXPIRATION,monthly,Monthly options expiration,,,
2027-09-03,NFP,employment_situation,Non-Farm Payrolls / Employment Situation (2027-09),,,Major market mover — typically ±0.5-1.5% S&P impact on surprise
2027-09-13,CPI,cpi_monthly,Consumer Price Index (2027-09),,,Key inflation indicator — high impact on rate expectations
2027-09-17,OPTIONS_EXPIRATION,triple_witching,Quadruple witching,,,Higher volume and volatility typical
2027-09-17,INDEX_REBALANCE,sp500_quarterly,S&P 500 quarterly rebalancing effective,,,Rebalancing flows affect added/removed stocks
2027-10-01,NFP,employment_situation,Non-Farm Payrolls / Employment Situation (2027-10),,,Major market mover — typically ±0.5-1.5% S&P impact on surprise
2027-10-13,CPI,cpi_monthly,Consumer Price Index (2027-10),,,Key inflation indicator — high impact on rate expectations
2027-10-15,OPTIONS_EXPIRATION,monthly,Monthly options expiration,,,
2027-10-28,GDP,gdp_advance,GDP Advance Estimate — Q3 2027,,,
2027-11-05,NFP,employment_situation,Non-Farm Payrolls / Employment Situation (2027-11),,,Major market mover — typically ±0.5-1.5% S&P impact on surprise
2027-11-12,CPI,cpi_monthly,Consumer Price Index (2027-11),,,Key inflation indicator — high impact on rate expectations
2027-11-19,OPTIONS_EXPIRATION,monthly,Monthly options expiration,,,
2027-12-03,NFP,employment_situation,Non-Farm Payrolls / Employment Situation (2027-12),,,Major market mover — typically ±0.5-1.5% S&P impact on surprise
2027-12-13,CPI,cpi_monthly,Consumer Price Index (2027-12),,,Key inflation indicator — high impact on rate expectations
2027-12-17,OPTIONS_EXPIRATION,triple_witching,Quadruple witching,,,Higher volume and volatility typical
2027-12-17,INDEX_REBALANCE,sp500_quarterly,S&P 500 quarterly rebalancing effective,,,Rebalancing flows affect added/removed stocks
